Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,hour,month,is_weekend,Load_Type_enc
3.42,3.46,0.0,0.0,70.3,100.0,0,1,0,0
3.33,2.95,0.0,0.0,73.21,100.0,0,1,0,0
3.31,4.46,0.0,0.0,66.77,100.0,0,1,0,0
3.31,3.28,0.0,0.0,70.28,100.0,0,1,0,0
3.31,3.56,0.0,0.0,68.09,100.0,1,1,0,0
3.31,4.5,0.0,0.0,64.72,100.0,1,1,0,0
3.6,3.56,0.0,0.0,67.76,100.0,1,1,0,0
3.6,4.14,0.0,0.0,65.62,100.0,1,1,0,0
3.6,4.28,0.0,0.0,64.37,100.0,2,1,0,0
3.6,3.64,0.0,0.0,66.94,100.0,2,1,0,0
3.46,4.72,0.0,0.0,62.51,100.0,2,1,0,0
3.46,4.03,0.0,0.0,65.14,100.0,2,1,0,0
3.46,3.64,0.0,0.0,66.49,100.0,3,1,0,0
3.31,4.97,0.0,0.0,62.32,100.0,3,1,0,0
3.31,3.74,0.0,0.0,66.27,100.0,3,1,0,0
3.31,3.85,0.0,0.0,65.19,100.0,3,1,0,0
3.31,5.0,0.0,0.0,61.4,100.0,4,1,0,0
3.56,3.82,0.0,0.0,65.14,100.0,4,1,0,0
3.56,4.28,0.0,0.0,63.95,100.0,4,1,0,0
3.56,4.54,0.0,0.0,63.58,100.0,4,1,0,0
3.56,3.6,0.0,0.0,67.68,100.0,5,1,0,0
3.56,4.07,0.0,0.0,65.84,100.0,5,1,0,0
3.56,4.1,0.0,0.0,65.56,100.0,5,1,0,0
3.56,3.49,0.0,0.0,68.48,100.0,5,1,0,0
3.35,4.32,0.0,0.0,65.85,100.0,6,1,0,0
3.35,3.64,0.0,0.0,67.72,100.0,6,1,0,0
3.35,3.35,0.0,0.0,69.52,100.0,6,1,0,0
